year,month,day,hour,day_of_week,Temperature (C)
2006,3,31,22,4,9.47222222222222
2006,3,31,23,4,9.355555555555558
2006,4,1,0,5,9.377777777777778
2006,4,1,1,5,8.28888888888889
2006,4,1,2,5,8.755555555555553
2006,4,1,3,5,9.22222222222222
2006,4,1,4,5,7.733333333333334
2006,4,1,5,5,8.77222222222222
2006,4,1,6,5,10.82222222222222
2006,4,1,7,5,13.77222222222222
2006,4,1,8,5,16.016666666666666
2006,4,1,9,5,17.144444444444446
2006,4,1,10,5,17.800000000000004
2006,4,1,11,5,17.333333333333332
2006,4,1,12,5,18.87777777777778
2006,4,1,13,5,18.911111111111115
2006,4,1,14,5,15.38888888888889
2006,4,1,15,5,15.550000000000002
2006,4,1,16,5,14.255555555555553
2006,4,1,17,5,13.144444444444442
2006,4,1,18,5,11.55
2006,4,1,19,5,11.183333333333334
2006,4,1,20,5,10.116666666666667
2006,4,1,21,5,10.2
2006,4,9,22,6,10.42222222222222
2006,4,9,23,6,9.911111111111111
2006,4,10,0,0,11.183333333333334
2006,4,10,1,0,7.155555555555556
2006,4,10,2,0,6.111111111111111
2006,4,10,3,0,6.788888888888888
2006,4,10,4,0,7.26111111111111
2006,4,10,5,0,7.799999999999999
2006,4,10,6,0,9.872222222222224
2006,4,10,7,0,12.22222222222222
2006,4,10,8,0,15.094444444444449
2006,4,10,9,0,17.355555555555558
2006,4,10,10,0,19.00555555555555
2006,4,10,11,0,20.04444444444444
2006,4,10,12,0,21.05
2006,4,10,13,0,21.18333333333333
2006,4,10,14,0,20.11666666666666
2006,4,10,15,0,20.216666666666665
2006,4,10,16,0,20.0
2006,4,10,17,0,17.800000000000004
2006,4,10,18,0,16.06111111111111
2006,4,10,19,0,15.02222222222222
2006,4,10,20,0,14.422222222222224
2006,4,10,21,0,14.255555555555553
2006,4,10,22,0,13.77222222222222
2006,4,10,23,0,13.283333333333331
2006,4,11,0,1,8.633333333333333
2006,4,11,1,1,11.25
2006,4,11,2,1,11.183333333333334
2006,4,11,3,1,10.694444444444445
2006,4,11,4,1,11.11111111111111
2006,4,11,5,1,11.11111111111111
2006,4,11,6,1,12.166666666666666
2006,4,11,7,1,12.755555555555556
2006,4,11,8,1,13.838888888888889
2006,4,11,9,1,16.183333333333334
2006,4,11,10,1,17.516666666666666
2006,4,11,11,1,17.383333333333333
2006,4,11,12,1,17.36111111111111
2006,4,11,13,1,17.205555555555556
2006,4,11,14,1,15.633333333333333
2006,4,11,15,1,13.577777777777776
2006,4,11,16,1,10.911111111111111
2006,4,11,17,1,8.800000000000002
2006,4,11,18,1,8.961111111111112
2006,4,11,19,1,8.199999999999998
2006,4,11,20,1,7.688888888888891
2006,4,11,21,1,7.766666666666664
2006,4,11,22,1,8.199999999999998
2006,4,11,23,1,8.177777777777777
2006,4,12,0,2,7.311111111111109
2006,4,12,1,2,7.644444444444442
2006,4,12,2,2,6.622222222222224
2006,4,12,3,2,6.683333333333334
2006,4,12,4,2,6.0888888888888895
2006,4,12,5,2,6.066666666666667
2006,4,12,6,2,6.144444444444446
2006,4,12,7,2,7.133333333333336
2006,4,12,8,2,7.205555555555555
2006,4,12,9,2,7.566666666666666
2006,4,12,10,2,8.900000000000002
2006,4,12,11,2,9.961111111111112
2006,4,12,12,2,9.888888888888888
